"engine","province","sex","year","age","population_count","population_count_pohem","all_count","relative_difference"
"CANSIM","Newfoundland","All",2001,"[15,20[",39763,39763,1,0
"CANSIM","Newfoundland","All",2001,"[20,25[",35599,35599,1,0
"CANSIM","Newfoundland","All",2001,"[25,30[",32308,32308,1,0
"CANSIM","Newfoundland","All",2001,"[30,35[",37349,37349,1,0
"CANSIM","Newfoundland","All",2001,"[35,40[",42853,42853,1,0
"CANSIM","Newfoundland","All",2001,"[40,45[",44191,44191,1,0
"CANSIM","Newfoundland","All",2001,"[45,50[",43565,43565,1,0
"CANSIM","Newfoundland","All",2001,"[50,55[",39982,39982,1,0
"CANSIM","Newfoundland","All",2001,"[55,60[",30604,30604,1,0
"CANSIM","Newfoundland","All",2001,"[60,65[",23033,23033,1,0
"CANSIM","Newfoundland","All",2001,"[65,70[",19231,19231,1,0
"CANSIM","Newfoundland","All",2001,"[70,75[",16327,16327,1,0
"CANSIM","Newfoundland","All",2001,"[75,80[",12696,12696,1,0
"CANSIM","Newfoundland","All",2001,"[80,85[",8727,8727,1,0
"CANSIM","Newfoundland","All",2001,"[85,90[",4451,4451,1,0
"CANSIM","Newfoundland","All",2001,"[90,95[",1564,1564,1,0
"CANSIM","Newfoundland","All",2001,"[95,100[",313,313,1,0
"CANSIM","Newfoundland","All",2001,"[100,max[",46,46,1,0
"CANSIM","Newfoundland","Male",2001,"All",257236,257236,1,0
"CANSIM","Newfoundland","Male",2001,"[0,5[",13022,13022,0,0
"CANSIM","Newfoundland","Male",2001,"[5,10[",15022,15022,0,0
"CANSIM","Newfoundland","Male",2001,"[10,15[",17883,17883,0,0
"CANSIM","Newfoundland","Male",2001,"[15,20[",20273,20273,0,0
"CANSIM","Newfoundland","Male",2001,"[20,25[",17816,17816,0,0
"CANSIM","Newfoundland","Male",2001,"[25,30[",15859,15859,0,0
"CANSIM","Newfoundland","Male",2001,"[30,35[",18189,18189,0,0
"CANSIM","Newfoundland","Male",2001,"[35,40[",20935,20935,0,0
"CANSIM","Newfoundland","Male",2001,"[40,45[",21811,21811,0,0
"CANSIM","Newfoundland","Male",2001,"[45,50[",21496,21496,0,0
"CANSIM","Newfoundland","Male",2001,"[50,55[",19953,19953,0,0
"CANSIM","Newfoundland","Male",2001,"[55,60[",15283,15283,0,0
"CANSIM","Newfoundland","Male",2001,"[60,65[",11554,11554,0,0
"CANSIM","Newfoundland","Male",2001,"[65,70[",9502,9502,0,0
"CANSIM","Newfoundland","Male",2001,"[70,75[",7654,7654,0,0
"CANSIM","Newfoundland","Male",2001,"[75,80[",5581,5581,0,0
"CANSIM","Newfoundland","Male",2001,"[80,85[",3379,3379,0,0
"CANSIM","Newfoundland","Male",2001,"[85,90[",1483,1483,0,0
"CANSIM","Newfoundland","Male",2001,"[90,95[",460,460,0,0
"CANSIM","Newfoundland","Male",2001,"[95,100[",74,74,0,0
"CANSIM","Newfoundland","Male",2001,"[100,max[",7,7,0,0
"CANSIM","Newfoundland","Female",2001,"All",264810,264810,1,0
"CANSIM","Newfoundland","Female",2001,"[0,5[",12359,12359,0,0
"CANSIM","Newfoundland","Female",2001,"[5,10[",14109,14109,0,0
"CANSIM","Newfoundland","Female",2001,"[10,15[",17049,17049,0,0
"CANSIM","Newfoundland","Female",2001,"[15,20[",19490,19490,0,0
"CANSIM","Newfoundland","Female",2001,"[20,25[",17783,17783,0,0
"CANSIM","Newfoundland","Female",2001,"[25,30[",16449,16449,0,0
"CANSIM","Newfoundland","Female",2001,"[30,35[",19160,19160,0,0
"CANSIM","Newfoundland","Female",2001,"[35,40[",21918,21918,0,0
"CANSIM","Newfoundland","Female",2001,"[40,45[",22380,22380,0,0
"CANSIM","Newfoundland","Female",2001,"[45,50[",22069,22069,0,0
"CANSIM","Newfoundland","Female",2001,"[50,55[",20029,20029,0,0
"CANSIM","Newfoundland","Female",2001,"[55,60[",15321,15321,0,0
"CANSIM","Newfoundland","Female",2001,"[60,65[",11479,11479,0,0
"CANSIM","Newfoundland","Female",2001,"[65,70[",9729,9729,0,0
"CANSIM","Newfoundland","Female",2001,"[70,75[",8673,8673,0,0
"CANSIM","Newfoundland","Female",2001,"[75,80[",7115,7115,0,0
"CANSIM","Newfoundland","Female",2001,"[80,85[",5348,5348,0,0
"CANSIM","Newfoundland","Female",2001,"[85,90[",2968,2968,0,0
"CANSIM","Newfoundland","Female",2001,"[90,95[",1104,1104,0,0
"CANSIM","Newfoundland","Female",2001,"[95,100[",239,239,0,0
"CANSIM","Newfoundland","Female",2001,"[100,max[",39,39,0,0
"CANSIM","P.E.I.","All",2001,"All",136665,136665,2,0
"CANSIM","P.E.I.","All",2001,"[0,5[",7578,7578,1,0
"CANSIM","P.E.I.","All",2001,"[5,10[",9081,9081,1,0
"CANSIM","P.E.I.","All",2001,"[10,15[",10013,10013,1,0
"CANSIM","P.E.I.","All",2001,"[15,20[",10276,10276,1,0
"CANSIM","P.E.I.","All",2001,"[20,25[",9023,9023,1,0
"CANSIM","P.E.I.","All",2001,"[25,30[",8137,8137,1,0
